#GSE10320	Prognostic__Relapse	no_covariates
#GSE1456	Prognostic__Death_BC_Group	Histological__ELSTON
#GSE1456	Prognostic__Relapse_Group	Histological__ELSTON
GSE15296	Prognosis__phenotype	no_covariates
#GSE19804	Stage__stage	PatientCharacteristic__age
#GSE20181	Prognostic__Response	no_covariates
#GSE20189	Diagnosis__case_status	PatientCharacteristic__smoking_status
#GSE20189	Stage__Stage	PatientCharacteristic__smoking_status
#GSE2109_Breast	Histological__Grade	PatientCharacteristic__Alcohol_Consumption,PatientCharacteristic__Ethnic_Background,PatientCharacteristic__Family_History_of_Cancer,PatientCharacteristic__Oophorectomy,PatientCharacteristic__Patient_Age,PatientCharacteristic__Tobacco_Use
#GSE2109_Breast	Histological__Histology	PatientCharacteristic__Alcohol_Consumption,PatientCharacteristic__Ethnic_Background,PatientCharacteristic__Family_History_of_Cancer,PatientCharacteristic__Oophorectomy,PatientCharacteristic__Patient_Age,PatientCharacteristic__Tobacco_Use
#GSE2109_Breast	MolecularMarker__ER	PatientCharacteristic__Alcohol_Consumption,PatientCharacteristic__Ethnic_Background,PatientCharacteristic__Family_History_of_Cancer,PatientCharacteristic__Oophorectomy,PatientCharacteristic__Patient_Age,PatientCharacteristic__Tobacco_Use
#GSE2109_Breast	MolecularMarker__HER2_Neu	PatientCharacteristic__Alcohol_Consumption,PatientCharacteristic__Ethnic_Background,PatientCharacteristic__Family_History_of_Cancer,PatientCharacteristic__Oophorectomy,PatientCharacteristic__Patient_Age,PatientCharacteristic__Tobacco_Use
#GSE2109_Breast	PatientCharacteristic__Family_History_of_Cancer	PatientCharacteristic__Ethnic_Background
#GSE2109_Breast	PatientCharacteristic__Multiple_Tumors	PatientCharacteristic__Alcohol_Consumption,PatientCharacteristic__Ethnic_Background,PatientCharacteristic__Family_History_of_Cancer,PatientCharacteristic__Oophorectomy,PatientCharacteristic__Patient_Age,PatientCharacteristic__Tobacco_Use
#GSE2109_Breast	Stage__Stage	PatientCharacteristic__Alcohol_Consumption,PatientCharacteristic__Ethnic_Background,PatientCharacteristic__Family_History_of_Cancer,PatientCharacteristic__Oophorectomy,PatientCharacteristic__Patient_Age,PatientCharacteristic__Tobacco_Use
GSE2109_Colon	Histological__Grade	PatientCharacteristic__Alcohol_Consumption,PatientCharacteristic__Ethnic_Background,PatientCharacteristic__Family_History_of_Cancer,PatientCharacteristic__Gender,PatientCharacteristic__Patient_Age,PatientCharacteristic__Tobacco_Use
GSE2109_Colon	Histological__Histology	PatientCharacteristic__Alcohol_Consumption,PatientCharacteristic__Ethnic_Background,PatientCharacteristic__Family_History_of_Cancer,PatientCharacteristic__Gender,PatientCharacteristic__Patient_Age,PatientCharacteristic__Tobacco_Use
GSE2109_Colon	PatientCharacteristic__Family_History_of_Cancer	PatientCharacteristic__Ethnic_Background
GSE2109_Colon	PatientCharacteristic__Multiple_Tumors	PatientCharacteristic__Alcohol_Consumption,PatientCharacteristic__Ethnic_Background,PatientCharacteristic__Family_History_of_Cancer,PatientCharacteristic__Gender,PatientCharacteristic__Patient_Age,PatientCharacteristic__Tobacco_Use
GSE2109_Colon	Stage__M	PatientCharacteristic__Alcohol_Consumption,PatientCharacteristic__Ethnic_Background,PatientCharacteristic__Family_History_of_Cancer,PatientCharacteristic__Gender,PatientCharacteristic__Patient_Age,PatientCharacteristic__Tobacco_Use
GSE2109_Colon	Stage__N	PatientCharacteristic__Alcohol_Consumption,PatientCharacteristic__Ethnic_Background,PatientCharacteristic__Family_History_of_Cancer,PatientCharacteristic__Gender,PatientCharacteristic__Patient_Age,PatientCharacteristic__Tobacco_Use
GSE2109_Colon	Stage__Stage	PatientCharacteristic__Alcohol_Consumption,PatientCharacteristic__Ethnic_Background,PatientCharacteristic__Family_History_of_Cancer,PatientCharacteristic__Gender,PatientCharacteristic__Patient_Age,PatientCharacteristic__Tobacco_Use
GSE2109_Colon	Stage__T	PatientCharacteristic__Alcohol_Consumption,PatientCharacteristic__Ethnic_Background,PatientCharacteristic__Family_History_of_Cancer,PatientCharacteristic__Gender,PatientCharacteristic__Patient_Age,PatientCharacteristic__Tobacco_Use
GSE2109_Endometrium	PatientCharacteristic__Family_History_of_Cancer	no_covariates
GSE2109_Kidney	Histological__Grade	PatientCharacteristic__Alcohol_Consumption,PatientCharacteristic__Ethnic_Background,PatientCharacteristic__Family_History_of_Cancer,PatientCharacteristic__Gender,PatientCharacteristic__Patient_Age,PatientCharacteristic__Tobacco_Use
GSE2109_Kidney	PatientCharacteristic__Family_History_of_Cancer	PatientCharacteristic__Ethnic_Background
