#GSE1456	Prognostic__Death_BC_Group	Histological__ELSTON
GSE1456	Prognostic__Relapse_Group	Histological__ELSTON
#GSE15296	Prognosis__phenotype	no_covariates
GSE2109_Colon	Histological__Grade	PatientCharacteristic__Alcohol_Consumption,PatientCharacteristic__Ethnic_Background,PatientCharacteristic__Family_History_of_Cancer,PatientCharacteristic__Gender,PatientCharacteristic__Patient_Age,PatientCharacteristic__Tobacco_Use
#GSE2109_Colon	Histological__Histology	PatientCharacteristic__Alcohol_Consumption,PatientCharacteristic__Ethnic_Background,PatientCharacteristic__Family_History_of_Cancer,PatientCharacteristic__Gender,PatientCharacteristic__Patient_Age,PatientCharacteristic__Tobacco_Use
GSE2109_Colon	PatientCharacteristic__Family_History_of_Cancer	PatientCharacteristic__Ethnic_Background
#GSE2109_Colon	PatientCharacteristic__Multiple_Tumors	PatientCharacteristic__Alcohol_Consumption,PatientCharacteristic__Ethnic_Background,PatientCharacteristic__Family_History_of_Cancer,PatientCharacteristic__Gender,PatientCharacteristic__Patient_Age,PatientCharacteristic__Tobacco_Use
GSE2109_Colon	Stage__M	PatientCharacteristic__Alcohol_Consumption,PatientCharacteristic__Ethnic_Background,PatientCharacteristic__Family_History_of_Cancer,PatientCharacteristic__Gender,PatientCharacteristic__Patient_Age,PatientCharacteristic__Tobacco_Use
#GSE2109_Colon	Stage__N	PatientCharacteristic__Alcohol_Consumption,PatientCharacteristic__Ethnic_Background,PatientCharacteristic__Family_History_of_Cancer,PatientCharacteristic__Gender,PatientCharacteristic__Patient_Age,PatientCharacteristic__Tobacco_Use
GSE2109_Colon	Stage__Stage	PatientCharacteristic__Alcohol_Consumption,PatientCharacteristic__Ethnic_Background,PatientCharacteristic__Family_History_of_Cancer,PatientCharacteristic__Gender,PatientCharacteristic__Patient_Age,PatientCharacteristic__Tobacco_Use
#GSE2109_Colon	Stage__T	PatientCharacteristic__Alcohol_Consumption,PatientCharacteristic__Ethnic_Background,PatientCharacteristic__Family_History_of_Cancer,PatientCharacteristic__Gender,PatientCharacteristic__Patient_Age,PatientCharacteristic__Tobacco_Use
GSE2109_Endometrium	PatientCharacteristic__Family_History_of_Cancer	no_covariates
#GSE2109_Kidney	Histological__Grade	PatientCharacteristic__Alcohol_Consumption,PatientCharacteristic__Ethnic_Background,PatientCharacteristic__Family_History_of_Cancer,PatientCharacteristic__Gender,PatientCharacteristic__Patient_Age,PatientCharacteristic__Tobacco_Use
GSE2109_Kidney	PatientCharacteristic__Family_History_of_Cancer	PatientCharacteristic__Ethnic_Background
#GSE2109_Kidney	PatientCharacteristic__Multiple_Tumors	PatientCharacteristic__Alcohol_Consumption,PatientCharacteristic__Ethnic_Background,PatientCharacteristic__Family_History_of_Cancer,PatientCharacteristic__Gender,PatientCharacteristic__Patient_Age,PatientCharacteristic__Tobacco_Use
GSE2109_Kidney	Stage__M	PatientCharacteristic__Alcohol_Consumption,PatientCharacteristic__Ethnic_Background,PatientCharacteristic__Family_History_of_Cancer,PatientCharacteristic__Gender,PatientCharacteristic__Patient_Age,PatientCharacteristic__Tobacco_Use
#GSE2109_Kidney	Stage__Stage	PatientCharacteristic__Alcohol_Consumption,PatientCharacteristic__Ethnic_Background,PatientCharacteristic__Family_History_of_Cancer,PatientCharacteristic__Gender,PatientCharacteristic__Patient_Age,PatientCharacteristic__Tobacco_Use
GSE2109_Kidney	Stage__T	PatientCharacteristic__Alcohol_Consumption,PatientCharacteristic__Ethnic_Background,PatientCharacteristic__Family_History_of_Cancer,PatientCharacteristic__Gender,PatientCharacteristic__Patient_Age,PatientCharacteristic__Tobacco_Use
#GSE2109_Ovary	Histological__Grade	PatientCharacteristic__Alcohol_Consumption,PatientCharacteristic__Family_History_of_Cancer,PatientCharacteristic__Patient_Age,PatientCharacteristic__Tobacco_Use
GSE2109_Ovary	PatientCharacteristic__Family_History_of_Cancer	no_covariates
#GSE2109_Ovary	Stage__M	PatientCharacteristic__Alcohol_Consumption,PatientCharacteristic__Family_History_of_Cancer,PatientCharacteristic__Patient_Age,PatientCharacteristic__Tobacco_Use
GSE2109_Ovary	Stage__N	PatientCharacteristic__Alcohol_Consumption,PatientCharacteristic__Family_History_of_Cancer,PatientCharacteristic__Patient_Age,PatientCharacteristic__Tobacco_Use
#GSE2109_Ovary	Stage__Stage	PatientCharacteristic__Alcohol_Consumption,PatientCharacteristic__Family_History_of_Cancer,PatientCharacteristic__Patient_Age,PatientCharacteristic__Tobacco_Use
GSE2109_Ovary	Stage__T	PatientCharacteristic__Alcohol_Consumption,PatientCharacteristic__Family_History_of_Cancer,PatientCharacteristic__Patient_Age,PatientCharacteristic__Tobacco_Use
#GSE2109_Uterus	Histological__Grade	PatientCharacteristic__Alcohol_Consumption,PatientCharacteristic__Family_History_of_Cancer,PatientCharacteristic__Patient_Age,PatientCharacteristic__Tobacco_Use
GSE2109_Uterus	PatientCharacteristic__Family_History_of_Cancer	no_covariates
#GSE2109_Uterus	Stage__N	PatientCharacteristic__Alcohol_Consumption,PatientCharacteristic__Family_History_of_Cancer,PatientCharacteristic__Patient_Age,PatientCharacteristic__Tobacco_Use
GSE2109_Uterus	Stage__Stage	PatientCharacteristic__Alcohol_Consumption,PatientCharacteristic__Family_History_of_Cancer,PatientCharacteristic__Patient_Age,PatientCharacteristic__Tobacco_Use
#GSE2109_Uterus	Stage__T	PatientCharacteristic__Alcohol_Consumption,PatientCharacteristic__Family_History_of_Cancer,PatientCharacteristic__Patient_Age,PatientCharacteristic__Tobacco_Use
GSE25507	Diagnosis__group	PatientCharacteristic__maternal_age,PatientCharacteristic__paternal_age,PatientCharacteristic__subject_age
#GSE26682_U133A	MolecularMarker__microsatellite_instability_msi_status	PatientCharacteristic__age,PatientCharacteristic__gender
GSE27342	Histological__grade	PatientCharacteristic__age,PatientCharacteristic__gender
